PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
UAB ,UAB ,1822 6th Ave S ,Birmingham,FPS ,,,8/2/2005,1,,
UAB - 501 Warehouse,UAB ,501 12th St S,Birmingham,Alabama Sprinkler,,,6/29/2005,1,,
UAB - 501 Warehouse,UAB ,501 12th St S,Birmingham,Alabama Sprinkler,,,1/24/2006,1,,
UAB - Bartow Arena ,UAB ,617 13th St S ,Birmingham,Alabama Sprinkler,,,6/10/2002,2,,
UAB - Basic Science Research Bldg ,UAB ,200 University Blvd ,Birmingham,Crumpton Sprinkler,,,3/7/1984,1,,
UAB - Bone Marrow Transplant ,UAB ,619 19th St S,Birmingham,Crumpton Sprinkler,,,7/8/1991,1,,
UAB - Bookstore ,UAB ,1400 University Blvd,Birmingham,Crumpton Sprinkler,,,3/4/1990,1,,
UAB - Campbell Hall,UAB ,1300 University Blvd,Birmingham,Alabama Sprinkler,,,4/13/2000,1,,
UAB - Campbell Hall ,UAB ,1300 University Blvd,Birmingham,Alabama Sprinkler,,,3/3/1989,11,,
UAB - Cardiac / Cath Lab ,UAB ,615 18th St S,Birmingham,Alabama Sprinkler,,,5/28/1993,1,,
UAB - Central Sterile ,UAB ,619 S 19th St ,Birmingham,Alabama Sprinkler,,,11/15/1999,3,,
UAB - Chemistry Bldg ,UAB,901 14th St S ,Birmingham,FPS ,,,5/3/2005,1,,
UAB - Civitan ,UAB ,1719 6th Avenue S ,Birmingham,Alabama Sprinkler,,,10/2/2006,2,,
UAB - Civitan International ,UAB ,1719 6th Avenue S ,Birmingham,Alabama Sprinkler,,,5/25/2006,2,,
UAB - Civitan International ,UAB ,1719 6th Avenue S ,Birmingham,Alabama Sprinkler,,,5/25/2006,2,,
UAB - Civitan International ,UAB ,1719 6th Avenue S ,Birmingham,Alabama Sprinkler,,,10/2/2006,2,,
UAB - Clark Memorial Theater,UAB ,1116 26th St S,Birmingham,Crumpton Sprinkler,,,8/23/1986,3,,
UAB - Cryo Lab ,UAB ,"Bevill Bldg, 845 19th St S Room 311 ",Birmingham,Crumpton Sprinkler,,,3/4/1989,1,,
UAB - Department of Dermatology Offices,UAB,1720 University Blvd,Birmingham,Alabama Sprinkler,,,5/10/1999,1,,
UAB - Department of Surgery ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,4/12/2000,1,,
UAB - Department of Surgery ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,5/12/2000,2,,
UAB - Dermatology Research Labs ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,10/30/1997,1,,
UAB - Eye Foundation Proffessional Office Building,UAB,1720 University Blvd,Birmingham,Alabama Sprinkler,,,1/26/2009,2,,
UAB - General Services,UAB ,521 19th St S ,Birmingham,Crumpton Sprinkler,,,2/18/1991,3,,
UAB - General Services Building,UAB,521 S 19th St,Birmingham,Alabama Sprinkler,,,4/20/1999,2,,
UAB - General Services Building,UAB ,521 S 19th St,Birmingham,Alabama Sprinkler,,,7/5/2000,1,,
UAB - Gift Shop,UAB ,1802 6th Avenue S ,Birmingham,Alabama Sprinkler,,,7/24/2007,2,,
UAB - HealthSouth,UAB ,1221 11th Avenue,Birmingham,Alabama Sprinkler,,,4/25/2006,2,,
UAB - HealthSouth,UAB ,1201 11th Avenue,Birmingham,Alabama Sprinkler,,,9/7/2006,2,,
UAB - Heritage Hall ,UAB ,1401 University Blvd,Birmingham,Alabama Sprinkler,,,8/12/2008,2,,
UAB - Hillman Bldg,UAB ,600 20th St S,Birmingham,Alabama Sprinkler,,,4/12/1996,8,,
UAB - Hillman Building ,UAB,600 20th St S,Birmingham,Crumpton Sprinkler,,,2/9/1988,2,,
UAB - Hillman Building ,UA ,600 20th St S,Birmingham,Crumpton Sprinkler,,,3/28/1988,1,,
UAB - Hospital UED Core ,UAB ,625 19th St S ,Birmingham,Crumpton Sprinkler,,,2/26/1995,1,,
UAB - Hospitals ,UAB,1802 6th Avenue S ,Birmingham,Crumpton Sprinkler,,,9/25/1981,1,,
UAB - International House ,UAB ,1600 10th Ave S,Birmingham,Crumpton Sprinkler,,,6/26/1991,5,,
UAB - IT Upgrade ,UAB ,1201 11th Avenue S ,Birmingham,Alabama Sprinkler,,,7/13/2006,2,,
UAB - Jefferson Tower,UAB ,625 19th St S,Birmingham,Alabama Sprinkler,,,6/17/2002,1,,
UAB - Jefferson Tower,UAB ,625 19th St S,Birmingham,Alabama Sprinkler,,,5/24/2002,1,,
UAB - Jefferson Tower,UAB ,625 19th St S,Birmingham,Alabama Sprinkler,,,7/2/2002,1,,
UAB - Jefferson Tower,UAB ,625 S 19th St,Birmingham,Alabama Sprinkler,,,9/25/1997,1,,
UAB - Jefferson Tower,UAB,619 S 19th St,Birmingham,Alabama Sprinkler,,,9/12/1996,2,,
UAB - Jefferson Tower,UAB,619 S 19th St,Birmingham,Alabama Sprinkler,,,1/12/1997,1,,
UAB - Jefferson Tower,UAB ,619 S 19th St,Birmingham,Alabama Sprinkler,,,2/19/2000,1,,
UAB - Jefferson Tower  ,UAB,619 S 19th St,Birmingham,Alabama Sprinkler,,,9/12/1996,2,,
Uab - Jefferson Tower - Kitchen Renovation 1st Flr S Wing ,UAB ,625 South 19th St,Birmingham,TFP ,TC1038,,2/8/2000,1,,
UAB - Jefferson Towers,UAB ,625 19th St S,Birmingham,Alabama Sprinkler,,,2/11/2002,1,,
UAB - L.B. Wallace Tumor Institute ,UAB ,1824 6th Avenue S,Birmingham,Alabama Sprinkler,,,10/7/1998,1,,
UAB - L.B. Wallace Tumor Institute ,UAB,1824 6th Avenue S,Birmingham,Alabama Sprinkler,,,12/4/2000,1,,
UAB - L.B. Wallace Tumor Institute ,UAB ,1824 6th Avenue S,Birmingham,Alabama Sprinkler,,,1/4/1995,1,,
UAB - Learning Resource Center ,UAB ,1714 9th Avenue S,Birmingham,Alabama Sprinkler,,,6/27/2006,2,,
UAB - Linear Accelerator Basement,UAB ,1802 6th Avenue S ,Birmingham,Crumpton Sprinkler,,,10/31/1989,1,,
UAB - Lister Hill Library ,UAB ,1700 University Blvd,Birmingham,Alabama Sprinkler,,,4/25/2007,1,,
UAB - Lister Hill Library ,UAB ,1700 University Blvd,Birmingham,Alabama Sprinkler,,,12/11/2002,1,,
UAB - Lyons Harrison Research Bldg,UAB ,701 19th St S,Birmingham,Alabama Sprinkler,,,1/3/2003,1,,
UAB - McCallum Bldg,UAB,1918 University Blvd,Birmingham,Alabama Sprinkler,,,1/3/2001,1,,
UAB - Medical Center E - Dr. Schmitt ,UAB,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,2/4/1988,1,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,7/24/1995,1,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,3/2/1992,3,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,3/12/1990,1,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,12/5/1989,1,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,10/6/1989,25,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,1/8/1992,1,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,7/24/1995,1,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,12/5/1989,1,,
UAB - Medical Center East,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,1/8/1992,1,,
UAB - Medical Center East - Dr. Bajaj,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,2/11/1991,7,,
UAB - Medical Center East - Norwood Cardiology ,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,3/4/1994,1,,
UAB - Medical Center East - Orthopedics,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,2/14/1990,7,,
UAB - Medical Center East - Simon Williamson Clinic,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,2/7/1988,1,,
UAB - Medical Center East- Community Resource Office,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,3/2/1992,3,,
UAB - Medical Center East- Dr. Bajaj,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,2/11/1991,7,,
UAB - Medical Center East- Dr. Boshell,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,2/12/1990,2,,
UAB - Medical Center East- Dr. Boshell,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,4/24/1990,2,,
UAB - Medical Center East- Dr. Schmitt,UAB  ,48 Medical Park Dr E,Birmingham,Crumpton Sprinkler,,,2/7/1988,1,,
UAB - Medical Education Building  ,UAB ,1813 6th Avenue S ,Birmingham,Alabama Sprinkler,,,10/25/2006,1,,
UAB - Miscellaneous Fit Ups,UAB ,1716 9th Ave S ,Birmingham,FPS ,,,5/1/2004,2,,
UAB - MRI Room,UAB ,615 S 18th St,Birmingham,Alabama Sprinkler,,,1/25/2000,1,,
UAB - National Alumni Society ,UAB - National Alumni Society ,1301 10th Ave S ,Birmingham,TFP ,TC1438,,2/4/2010,2,,
UAB - Neuroangiography Suite,UAB ,615 S 18th St,Birmingham,Alabama Sprinkler,,,10/11/2000,1,,
UAB - Neuroangiography Suite,UAB ,615 S 18th St,Birmingham,Alabama Sprinkler,,,6/21/2000,1,,
UAB - Neurobiology Research Center ,UAB ,1717 6th Avenue S,Birmingham,Crumpton Sprinkler,,,1/6/1995,1,,
UAB - North Pavilion ,UAB ,615 18th St S,Birmingham,Alabama Sprinkler,,,7/21/2005,1,,
UAB - Parking Deck ,UAB ,351 Devotie Dr,Birmingham,Alabama Sprinkler,,,4/26/2004,1,,
UAB - Pediatric Cardiology ,UAB ,620 20th St S #320 ,Birmingham,Alabama Sprinkler,,,5/21/2001,2,,
UAB - Plaza Fast Food Facility ,UAB,,Birmingham,Crumpton Sprinkler,,,8/12/1982,1,,
UAB - Quarterback Tower,UAB,625 19th St S,Birmingham,Alabama Sprinkler,,,8/8/2004,1,,
UAB - Quarterback Tower,UAB,625 19th St S,Birmingham,Alabama Sprinkler,,,7/25/2006,1,,
UAB - Quarterback Tower,UAB ,625 19th St S ,Birmingham,Alabama Sprinkler,,,1/12/2007,1,,
UAB - Radiation Oncology,UAB,1700 6th St S ,Birmingham,Crumpton Sprinkler,,,6/11/1987,1,,
UAB - Radiation Oncology,UAB,1700 6th St S ,Birmingham,Crumpton Sprinkler,,,3/20/1987,21,,
UAB - Research Support Bldg ,UAB,1800 9th Ave S ,Birmingham,FPS ,,,11/1/2004,15,,
UAB - Russell Ambulatory Building - Depart. Of Neurology ,UAB ,1813 6th Ave S ,Birmingham,Alabama Sprinkler,,,7/16/2001,1,,
UAB - Russell Ambulatory Building - Orthopedic Clinic ,UAB ,1813 6th Ave S ,Birmingham,Crumpton Sprinkler,,,4/21/1988,1,,
UAB - Russell Building ,UAB ,1813 6th Avenue S ,Birmingham,Alabama Sprinkler,,,10/23/2002,1,,
UAB - Russell Wing ,UAB ,1813 6th Avenue S ,Birmingham,Alabama Sprinkler,,,7/12/2002,1,,
UAB - Russell Wing ,UAB ,1813 6th Avenue S ,Birmingham,Alabama Sprinkler,,,1/28/2005,1,,
UAB - Rust Computer Center ,UAB ,815 3rd Ave S,Birmingham,Crumpton Sprinkler,,,3/15/1989,1,,
UAB - Ryals School of Public Health,UAB ,1665 University Blvd,Birmingham,Alabama Sprinkler,,,1/30/2006,1,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S,Birmingham,Alabama Sprinkler,,,2/28/2004,2,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S,Birmingham,Alabama Sprinkler,,,11/26/2001,1,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S,Birmingham,Alabama Sprinkler,,,7/8/2004,2,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S,Birmingham,Alabama Sprinkler,,,7/16/2003,1,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S,Birmingham,Alabama Sprinkler,,,2/8/2007,2,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S,Birmingham,Alabama Sprinkler,,,6/21/2002,1,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S,Birmingham,Alabama Sprinkler,,,2/19/2001,2,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S ,Birmingham,Alabama Sprinkler,,,7/28/2008,2,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S ,Birmingham,Alabama Sprinkler,,,11/28/2006,2,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S ,Birmingham,Alabama Sprinkler,,,10/5/2004,1,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S ,Birmingham,Alabama Sprinkler,,,6/23/2004,2,,
UAB - School of Denistry ,UAB ,1919 7th Avenue S ,Birmingham,Alabama Sprinkler,,,4/11/2005,1,,
UAB - School of Dentistry ,UAB ,1919 7th Avenue S ,Birmingham,Alabama Sprinkler,,,7/26/2007,1,,
UAB - School of Medicine ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,9/12/2003,1,,
UAB - School of Nursing,UAB,1701 University Blvd,Birmingham,Alabama Sprinkler,,,11/1/2000,1,,
UAB - School of Nursing,UAB ,1701 University Blvd,Birmingham,Alabama Sprinkler,,,10/4/2002,1,,
UAB - School of Nursing ,UAB ,1701 University Blvd,Birmingham,Crumpton Sprinkler,,,3/25/1992,1,,
UAB - School of Optometry,UAB,1716 University Blvd,Birmingham,Alabama Sprinkler,,,5/21/2003,5,,
UAB - Shelby Biomedical Research ,UAB ,1825 University Blvd,Birmingham,Alabama Sprinkler,,,12/27/2006,3,,
UAB - Shelby Biomedical Research ,UAB ,1825 University Blvd,Birmingham,Alabama Sprinkler,,,6/12/2006,3,,
UAB - Shelby Biomedical Research ,UAB ,1825 University Blvd,Birmingham,Alabama Sprinkler,,,3/24/2006,3,,
UAB - Shelby Biomedical Research  ,UAB ,1825 University Blvd,Birmingham,Alabama Sprinkler,,,12/8/2006,3,,
UAB - Shelby Interdisciplinary Biomedical Research Bldg ,UAB ,1825 University Blvd,Birmingham,FPS ,,,9/25/2004,10,,
UAB - Shelby Interdisciplinary Biomedical Research Bldg ,UAB,1825 University Blvd,Birmingham,FPS ,,,9/28/2004,16,,
UAB - Simply Fashion Stores,UAB ,2500 Crestwood Blvd #500,Birmingham,Alabama Sprinkler,,,2/25/2003,2,,
UAB - Spain Rehab - Pallative Care,UAB ,1713 6th Avenue S,Birmingham,Alabama Sprinkler,,,2/22/2006,1,,
UAB - Spain Rehabilitation Center,UAB,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,6/23/2003,,,
UAB - Spain Rehabilitation Center,UAB ,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,3/4/2002,1,,
UAB - Spain Rehabilitation Center ,UAB,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,1/10/2003,1,,
UAB - Spain Rehabilitation Center ,UAB ,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,3/13/2001,1,,
UAB - Spain Rehabilitation Center ,UAB ,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,3/4/2002,1,,
UAB - Spain Wallace Bldg - Cardiovascular Nursery,UAB,1717 6th Avenue S,Birmingham,Crumpton Sprinkler,,,4/13/1985,1,,
UAB - Spain Wallace Building,UAB,1717 6th Avenue S,Birmingham,Crumpton Sprinkler,,,2/5/1993,7,,
UAB - Spain Wallace Building,UAB ,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,8/22/2000,1,,
UAB - Spain Wallace Building ,UAB,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,8/17/2011,2,,
UAB - Spain Wallace Building ,UAB ,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,4/14/2000,12,,
UAB - Spain Wallace Building ,UAB ,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,4/25/2000,11,,
UAB - Spain Wallace Building ,UAB ,1717 6th Avenue S,Birmingham,Alabama Sprinkler,,,9/28/2007,2,,
UAB - Sparks Building ,UAB,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,1/3/2004,1,,
UAB - Sparks Building ,UAB,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,11/21/2003,1,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,3/28/2002,1,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,3/1/2007,1,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,4/6/2007,3,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,3/4/2007,1,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,2/15/2006,1,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,2/24/2006,3,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,11/6/2006,4,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,9/1/2006,1,,
UAB - Sparks Building ,UAB ,1720 7th Avenue S ,Birmingham,Alabama Sprinkler,,,12/1/2005,1,,
UAB - Stores Warehouse,UAB ,1405 2nd Avenue S ,Birmingham,Alabama Sprinkler,,,8/2/2003,1,,Now Regions Field
UAB - Stores Warehouse,UAB,1401 2nd Avenue S,Birmingham,Alabama Sprinkler,,,9/18/2000,1,,Now Regions Field
UAB - Stores Warehouse,UAB ,1401 2nd Avenue S,Birmingham,Alabama Sprinkler,,,9/18/2000,1,,Now Regions Field
UAB - Study Clinic ,UAB ,,Birmingham,Crumpton Sprinkler,,,1/9/1993,1,,
UAB - Susan Mott Webb Building ,UAB ,1675 University Blvd,Birmingham,Alabama Sprinkler,,,10/8/2003,1,,
UAB - Susan Mott Webb Building ,UAB,1675 University Blvd,Birmingham,Alabama Sprinkler,,,3/15/2004,1,,
UAB - Susan Mott Webb Building ,UAB,1675 University Blvd,Birmingham,Alabama Sprinkler,,,3/11/2004,1,,
UAB - Susan Mott Webb Building ,UAB,1675 University Blvd,Birmingham,Alabama Sprinkler,,,10/8/2003,1,,
UAB - Taub Training Clinic ,UAB,1713 6th Avenue S,Birmingham,Alabama Sprinkler,,,2/17/2001,1,,
UAB - Tinsley Harrison ,UAB ,1900 University Blvd,Birmingham,Alabama Sprinkler,,,7/24/2007,2,,
UAB - Tinsley Harrison Building ,UAB ,1900 University Blvd,Birmingham,Alabama Sprinkler,,,8/29/2006,1,,
UAB - UED Aministrative Services,UAB ,1802 6th Avenue S ,Birmingham,Crumpton Sprinkler,,,2/3/1994,2,,
UAB - UED Core ,UAB ,1802 6th Avenue S ,Birmingham,Crumpton Sprinkler,,,2/26/1995,1,,
UAB - Ventricular Assist Device ,UAB ,1802 6th Avenue S ,Birmingham,Alabama Sprinkler,,,10/23/2007,2,,
UAB - Vocker Hall,UAB,1670 University Blvd,Birmingham,Crumpton Sprinkler,,,11/19/1982,1,,
UAB - Volker Hall,UAB,1670 University Blvd,Birmingham,Alabama Sprinkler,,,10/27/2000,1,,
UAB - Volker Hall,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,7/26/1980,4,,
UAB - Volker Hall,UAB,1670 University Blvd,Birmingham,Alabama Sprinkler,,,12/18/1987,3,,
UAB - Volker Hall,UAB ,1670 University Blvd ,Birmingham,Alabama Sprinkler,,,5/19/2004,3,,
UAB - Volker Hall,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,2/15/2006,1,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,5/19/2004,3,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,1/27/2005,1,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,5/19/2004,3,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,5/14/2003,1,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,5/19/2004,3,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,4/10/2006,2,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,4/10/2006,2,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,4/10/2006,2,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,10/30/1997,1,,
UAB - Volker Hall ,UAB,1670 University Blvd,Birmingham,Alabama Sprinkler,,,3/2/1996,1,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,4/10/2006,2,,
UAB - Volker Hall ,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,7/5/2001,3,,
UAB - Volker Hall Vivarium,UAB ,1670 University Blvd,Birmingham,Alabama Sprinkler,,,8/15/2003,1,,
UAB - Waste Holding Facility ,UAB ,1401 2nd Avenue S,Birmingham,Alabama Sprinkler,,,00-00-00,1,,Now Regions Field
UAB - Waste Holding Facility ,UAB,1401 2nd Avenue S,Birmingham,Alabama Sprinkler,,,4/20/1999,2,,Now Regions Field
UAB - Wesco Building ,UAB,1401 2nd Avenue S,Birmingham,Crumpton Sprinkler,,,3/4/1987,6,,Now Regions Field
UAB - Wesco Building ,UAB ,1401 2nd Avenue S,Birmingham,Crumpton Sprinkler,,,3/11/1987,4,,Now Regions Field
UAB - West Pavilion,UAB ,615 18th St S,Birmingham,Alabama Sprinkler,,,2/15/2000,1,,
UAB - West Pavillion,UAB ,615 18th St S,Birmingham,Alabama Sprinkler,,,7/29/2005,1,,
UAB - Womens Health ,UAB ,1500 6th Avenue S,Birmingham,Alabama Sprinkler,,,10/29/2007,1,,
UAB - Womens Health Research Center,UAB,1500 6th Avenue S,Birmingham,Alabama Sprinkler,,,4/19/2001,1,,
UAB - Worrell Building ,UAB,924 18th St S,Birmingham,Alabama Sprinkler,,,7/1/2003,1,,
UAB - Worrell Building ,UAB,924 18th St S,Birmingham,Alabama Sprinkler,,,4/12/1999,1,,
UAB - Worrell Building ,UAB,924 18th St S,Birmingham,Alabama Sprinkler,,,10/18/1999,1,,
UAB 12th ST Parking Deck Expansion ,UAB - 12th Street Parking Deck,1201 University Blvd ,Birmingham,TFP ,TC1437,,2/23/2010,1,,
UAB Hospital ,UAB,1802 6th Avenue S ,Birmingham,FPS ,,,10/1/2005,1,,
UAB MEB Bldg ,UAB,1813 6th Ave S ,Birmingham,FPS ,,,8/1/2003,4,,
UAB MEB Bldg ,UAB,1813 6th Ave S ,Birmingham,FPS ,,,8/1/2003,1,,
UKI Communication ,UKI Communication ,2 N 20th Bldg,Birmingham,FPS ,,,5/1/2001,1,,Closed
Unifirst Corp,Unifirst Corp,907 3rd Avenue ,Birmingham,Alabama Sprinkler,,,10/28/1999,1,,
Uninterruptable Power System ,Uninterruptable Power System ,12th Avenue N & 19th St,Birmingham,Crumpton Sprinkler,,,4/29/1990,1,,
Uniroyal Goodrich Tire Co ,Uniroyal Goodrich Tire Co ,3400 Pinson Valley Prkwy ,Birmingham,Crumpton Sprinkler,,,3/8/1993,1,,Now Courington Sales Co
Unisys Tenant Buildout ,Unisys ,200 Century Park S ,Birmingham,FPS ,,,3/1/2001,1,,Closed
United Parcel Service ,United Parcel Service ,4601 Inglenook Lane ,Birmingham,Alabama Sprinkler,,,4/11/1995,1,,
United Parcel Service ,United Parcel Service ,118 Citation Court,Birmingham,Crumpton Sprinkler,,,3/21/1984,1,,
Universal Sewing Supply ,Universal Sewing Supply ,3230 Airport Hwy,Birmingham,Crumpton Sprinkler,,,12/10/1980,1,,Now GoodYear 
Universal Tire,Universal Tire,2222 Vanderbilt Rd,Birmingham,Alabama Sprinkler,,,2/11/1996,3,,Now Coca-Colla Bottling 
Universal Tire,Universal Tire,2222 Vanderbilt Rd,Birmingham,Alabama Sprinkler,,,6/10/1998,1,,Now Coca-Colla Bottling 
University Federal Credit Union ,University Federal Credit Union ,1920 Fourth Ave S ,Birmingham,TFP ,TC1189,,6/7/2006,1,,Now Legacy Federal Credit Union 
V & W Supply Co ,V & W Supply Co ,3320 2nd Ave S ,Birmingham,FPS ,,,3/1/2001,2,,
V & W Supply Co ,V & W Supply Co ,3320 2nd Ave S ,Birmingham,Mckenzie Handling Systems ,,,3/29/2001,1,,
V&W Supply Bldg ,V&W Supply Bldg ,3320 2nd Ave S,Birmingham,FPS ,,,9/1/2003,2,,
V.A. Medical Center ,V.A. Medical Center ,700 S 19th St,Birmingham,FPS ,,,8/19/2008,1,,
Valleydale Baptist Church ,Valleydale Baptist Church ,2545 Valleydale Rd,Birmingham,FPS ,,,5/1/2004,1,,
Verari Systems Software,Verari Systems Software,110 12th St N Suite D103,Birmingham,FPS ,,,6/12/2007,1,,Now Terracon
Victoria Station ,Victoria Station ,2033 Morris Avenue ,Birmingham,Crumpton Sprinkler,,,8/3/1987,1,,Closed
Village East South Central Bell,Village East South Central Bell,,Birmingham,Crumpton Sprinkler,,,4/2/1987,1,,
W.M. Scruggs Offices ,W.M. Scruggs Offices ,Bldg 2 N 20th ,Birmingham,FPS ,,,7/18/2006,1,,
Waldrep Stewart & Kendrick ,Waldrep Stewart & Kendrick ,2323 2nd Ave N,Birmingham,FPS ,,,2/8/2007,1,,
Walgreens,Walgreens,,Birmingham,FPS ,,,3/1/2000,3,,
Walgreens ,Walgreens,668 Lomb Ave,Birmingham,Alabama Sprinkler,,,7/29/2002,1,,
Walgreens ,Walgreens,,Birmingham,FPS ,,,3/1/2000,2,,
Western Supermarket,Western Supermarket,Eastwood Festival Center ,Birmingham,Crumpton Sprinkler,,,6/16/1992,1,,
Westwood Baptist Church ,Westwood Baptist Church ,1155 Alabaster Blvd ,Alabaster,TFP ,TC1167,,6/17/2005,4,,
White GMC Trucks,White GMC Trucks,2901 Messer Airport Hwy ,Birmingham,Crumpton Sprinkler,,,9/23/1988,1,,Now Floors Inc 
White Volvo ,White Volvo ,2901 Messer Airport Hwy ,Birmingham,Crumpton Sprinkler,,,12/27/1991,1,,Now Floors Inc 
Winn Dixie Food Store,Winn Dixie Food Store,2612 30th Ave N,Birmingham,Crumpton Sprinkler,,,2/6/1981,3,,Now Piggly Wiggly 
Woodward Building ,Woodward Building,1927 1st Ave N,Birmingham,Crumpton Sprinkler,,,6/20/1985,2,,
World of Beer ,World of Beer,1005 20th St S,Birmingham,TFP ,TC1565,,8/23/2012,1,,Now Magic City Brew
Y W Homes Woodlawn Renovations 1st Flr - Barbara Ann ,Y W Homes Woodlawn ,,Birmingham,TFP ,TC1443,,3/8/2010,3,,
