PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Royal Switchgear,Royal Switchgear,3995 Pine Lane S.E.,Bessemer,FPS ,,,8/1/2008,1,,
Simmons Sporting Goods ,Simmons Sporting Goods ,2001 2nd Ave N,Bessemer,TFP ,TC1424,,12/21/2009,3,,
Southern Marine Inc,Southern Marine Inc,2401 Performance Circle,Bessemer,Alabama Sprinkler,,,12/6/2004,2,,
Stock Products ,Stock Products ,600 Belview St,Bessemer,TFP ,TC1199,,12/28/2005,4,,
UAB - Medical West ,UAB,995 9th Ave SW,Bessemer,FPS ,,,1/15/2007,1,,
UAB Medical West ,UAB ,995 9th Ave SW,Bessemer,FPS ,,,1/1/2007,1,,
UAB Medical West ,UAB ,995 9th Ave SW,Bessemer,FPS ,,,12/1/2007,1,,
UAB Medical West ,UAB Medical West ,995 9th Ave SW,Bessemer,FPS ,,,2/1/2004,1,,
UAB Medical West ,UAB Medical West ,995 9th Ave SW,Bessemer,FPS ,,,3/1/2003,1,,
UAB Medical West ,UAB Medical West,995 9th Ave SW,Bessemer,FPS ,,,10/1/2003,1,,
UAB Medical West - Advanced Wound Care,UAB,995 9th Ave SW,Bessemer,TFP ,TC1449,,5/27/2010,1,,
UAB Medical West - Happy Home Health ,UAB ,995 9th Ave SW ,Bessemer,FPS ,,,3/19/2007,1,,
UAB Medical West - Patient Room & Floor Renovations  ,UAB Medical West,995 9th Ave SW,Bessemer,FPS ,,,8/1/2003,1,,
Walgreens ,Walgreens ,1815 9th Ave N,Bessemer,TFP ,TC1041,,4/4/2000,1,,
West Town Plaza Shopping Center - Heilig Meyers Store #290,West Town Plaza Shopping Center,,Bessemer,Alabama Sprinkler,,,3/9/1998,1,,
Westlake Mall  ,Westlake Mall ,,Bessemer,Crumpton Sprinkler,,,3/7/1994,1,,Closed
Westlake Mall - Seafest Restaurant ,Westlake Mall,,Bessemer,Crumpton Sprinkler,,,8/31/1992,1,,Closed
Wilson Home for Eldery ,Wilson Home for Eldery ,2014 N & 19th St ,Bessemer,Crumpton Sprinkler,,,2/14/1990,2,,
2nd N 20th St Building ,2nd N 20th St Building ,2nd N 20th St ,Birmingham,FPS ,,,6/3/2005,1,2,
2nd N 20th St Building - 11th Floor ,2nd N 20th St Building ,2nd N 20th St ,Birmingham,FPS ,,,7/1/2001,1,,
4th Ave S Parking Deck ,UAB Educational Foundation ,,Birmingham,FPS ,,,4/1/2003,7,,
AC Legg ,AC Legg ,2319 1st Ave N ,Birmingham,FPS ,,,1/1/2004,5,2,
Airborne Express ,Airborne Express ,,Birmingham,FPS ,,,3/1/2000,3,,
Alabama A & M,Alabama A & M,2300 23rd Street Ensley,Birmingham,Crumpton Sprinkler,,,3/11/1996,21,2,
Alabama Air National Guard ,Alabama Air National Guard ,,Birmingham,TFP ,TC1426,,10/8/2009,2,,
Alabama D.O.T. Work Release ,Alabama D.O.T. Work Release ,1020 Bankhead Hwy ,Birmingham,FPS ,,,9/1/2002,3,,
Alabama Orthopedics Surgeons ,Alabama Orthopedics Surgeons ,52 Medical Park Dr ,Birmingham,TFP ,TC1510,,5/12/2011,1,,
Alabama Outdoor ,Alabama Outdoor,Century Plaza,Birmingham,Crumpton Sprinkler,,,5/15/1981,1,2,Closed
Alabama Power,Alabama Power,1230 1st Avenue ,Birmingham,Crumpton Sprinkler,,,10/16/1991,5,,Empty BLDG
Alabama Power AC/DC Project,Alabama Power Company,1313 6th Avenue N,Birmingham,Crumpton Sprinkler,,,8/27/1986,2,,
"Alabama Power Co, Inc","Alabama Power Co, Inc",1313 6th Avenue N,Birmingham,Crumpton Sprinkler,,,1/24/1990,4,,
Alabama Power Company,Alabama Power Company,600 North 18th Street,Birmingham,Crumpton Sprinkler,,,11/3/1988,1,,
